************ Bubble sort ************ 

Now is array with  from 0 to 7 numbers.
Length	Average		Min		Max
4000		15697135		14822104		20447483
5000		24401086		23275950		28250020
6000		34949990		33527880		41799627
7000		47578238		45708984		53475517
8000		62158384		59905344		69826214
9000		79683989		76148305		87543645

Now is array with from 0 to INT_MAX numbers.
Length	Average		Min		Max
1000		1101871		1083242		2035045
2000		4511190		4205730		6607702
3000		10443091		9647005		12802489
4000		17843454		16807343		21895846
5000		27934823		26720690		32460635
6000		39744203		38092304		45615988
7000		54024394		52022187		61357609
8000		71364377		68708666		78274558
9000		90038224		86898039		101562927

Now is array with semi-sorted numbers.
Length	Average		Min		Max
1000		13987		13898		17138
2000		20270		19270		53166
3000		19353		19276		19474
4000		22258		22092		26321
5000		24806		24713		24906
6000		30772		27469		127155
7000		30505		30372		30601
8000		33007		32872		34810
9000		36830		35829		82666

Now is array with already sorted numbers.
Length	Average		Min		Max
1000		2306991		2133956		4123915
2000		9103792		8528726		11658452
3000		20068663		19211234		23160289
4000		35533082		34146324		46456127
5000		55213377		53313903		61123807
6000		79911994		77262283		86514227
7000		108533495		104604661		116832581
8000		142030996		136898517		151074430
9000		179755142		173161257		193997960

************ Radix sort ************ 

Now is array with  from 0 to 7 numbers.
Length	Average		Min		Max
1000		46402		45739		69887
2000		91692		91520		93497
3000		137768		136991		174386
4000		183445		182763		221129
5000		246787		228434		528262
6000		285764		274213		343316
7000		328082		319629		493688
8000		367300		365363		402578
9000		461435		410959		986880

Now is array with from 0 to INT_MAX numbers.
Length	Average		Min		Max
1000		474971		442306		612346
2000		928832		883522		1354864
3000		1452748		1325173		2483803
4000		1910995		1767511		3150243
5000		2474794		2210607		3696826
6000		2915083		2650506		3990253
7000		3490232		3091999		5073187
8000		3964041		3533629		5917400
9000		4315030		3973166		6368097

Now is array with semi-sorted numbers.
Length	Average		Min		Max
1000		144421		133392		174814
2000		274946		266481		393693
3000		440395		399640		913859
4000		626960		532991		1135078
5000		743572		666179		1437384
6000		888212		799592		1740704
7000		983632		931720		2028825
8000		1188916		1064983		2142952
9000		1318425		1197657		2339862

Now is array with already sorted numbers.
Length	Average		Min		Max
1000		198613		177441		297466
2000		361155		354319		513275
3000		565833		531422		807015
4000		805770		708515		1595145
5000		964039		886208		1778638
6000		1143092		1063114		1927044
7000		1368175		1239995		2615967
8000		1517288		1416825		2581998
9000		1668592		1593380		2643077

